app_downloads_per_month,average_profit,business_model,buy_it_now_price,confidential,display_price,listing_duration,has_verified_revenue,has_verified_traffic,page_views_per_month,profit_per_month,asset_age,property_type,uniques_per_month,current_price
0,0,ecommerce,249,FALSE,205,18,FALSE,FALSE,0,0,31,starter_site,0,205
0,0,ecommerce,249,FALSE,249,20,FALSE,FALSE,0,0,31,starter_site,0,249
0,0,ecommerce,225,FALSE,225,22,FALSE,FALSE,0,0,31,starter_site,0,225
1000,0,default,500,FALSE,395,4,FALSE,FALSE,0,0,31,android_app,0,395
0,0,ecommerce,359,FALSE,359,2,FALSE,FALSE,0,0,31,starter_site,0,359
0,0,ecommerce,199,FALSE,180,15,FALSE,FALSE,0,0,31,starter_site,0,180
0,0,ecommerce,449,FALSE,449,9,FALSE,FALSE,0,0,31,starter_site,0,449
1500,19,default,650,FALSE,630,5,FALSE,FALSE,0,19,61,android_app,0,630
0,0,ecommerce,287,FALSE,101,4,FALSE,FALSE,0,0,31,starter_site,0,101
8210,138,default,650,FALSE,650,3,FALSE,FALSE,0,138,61,android_app,0,650
0,0,transact-market,287,FALSE,287,2,FALSE,FALSE,0,0,31,starter_site,0,287
0,0,ecommerce,0,FALSE,70,10,FALSE,FALSE,0,0,31,starter_site,0,70
0,0,default,0,FALSE,11,14,FALSE,FALSE,0,0,771,domain,0,11
0,0,default,0,FALSE,11,14,FALSE,FALSE,0,0,372,domain,0,11
0,1262,ecommerce,1100,FALSE,1100,1,FALSE,FALSE,0,1262,152,starter_site,0,1100
520,71,default,850,FALSE,255,4,FALSE,FALSE,0,71,61,android_app,0,255
0,711,ecommerce,3000,FALSE,3000,12,FALSE,FALSE,0,711,92,established_website,0,3000
0,204,ecommerce,597,FALSE,597,4,FALSE,FALSE,0,204,397,established_website,0,597
700,485,default,1499,FALSE,1499,6,FALSE,FALSE,0,485,152,android_app,0,1499
540,137,default,500,FALSE,500,2,FALSE,FALSE,0,137,61,android_app,0,500
0,0,content,129,FALSE,129,7,FALSE,FALSE,0,0,121,starter_site,0,129
0,208,ecommerce,1250,FALSE,0,18,FALSE,FALSE,0,208,517,established_website,0,400
0,0,ecommerce,750,FALSE,0,0,FALSE,FALSE,0,0,31,starter_site,0,750
400,79,default,250,FALSE,250,3,FALSE,FALSE,0,79,61,android_app,0,250
400,142,default,0,FALSE,515,7,FALSE,FALSE,0,142,92,android_app,0,515
0,0,ecommerce,699,FALSE,380,6,FALSE,FALSE,0,0,397,established_website,0,380
0,0,transact-market,250,FALSE,250,2,FALSE,FALSE,0,0,61,starter_site,0,250
0,0,ecommerce,690,FALSE,690,14,FALSE,FALSE,0,0,61,starter_site,0,690
0,0,transact-market,200,FALSE,200,1,FALSE,FALSE,0,0,31,starter_site,0,200
0,0,ecommerce,997,FALSE,455,22,FALSE,FALSE,0,0,31,starter_site,0,455
500,71,default,275,FALSE,275,4,FALSE,FALSE,0,71,61,android_app,0,275
